SiteID,Site,Location,Date,Matrix,CHEM_CODE,Parameter,Value,Units,DetectionFlag,ReportingLimit,MDL,REPORTABLE
47,Site 1,ML-1,18-Apr-06,WG,MG,Magnesium,1,MG/L,=,,,Y
47,Site 1,ML-2,18-Apr-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,18-Apr-06,WG,CU,Copper,0.105,MG/L,=,,,Y
47,Site 1,ML-2,18-Apr-06,WG,FE,Iron,0.37,MG/L,=,,,Y
47,Site 1,ML-2,18-Apr-06,WG,MG,Magnesium,7,MG/L,=,,,Y
47,Site 1,ML-1,16-Mar-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-1,16-Mar-06,WG,CU,Copper,0.1,MG/L,=,,,Y
47,Site 1,ML-1,16-Mar-06,WG,FE,Iron,1.28,MG/L,=,,,Y
47,Site 1,ML-1,16-Mar-06,WG,MG,Magnesium,4.2,MG/L,=,,,Y
47,Site 1,ML-2,16-Mar-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-2,16-Mar-06,WG,CU,Copper,0.11,MG/L,=,,,Y
47,Site 1,ML-2,16-Mar-06,WG,FE,Iron,0.39,MG/L,=,,,Y
47,Site 1,ML-2,16-Mar-06,WG,MG,Magnesium,9.2,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-1,22-Nov-06,WG,AS,Arsenic,0.00644,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,CU,Copper,0.08,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,CU,Copper,0.266,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,FE,Iron,0.085,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,FE,Iron,0.41,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,K,Potassium,12.5,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,MG,Magnesium,11,MG/L,=,,,Y
47,Site 1,ML-1,22-Nov-06,WG,MG,Magnesium,9.71,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-2,22-Nov-06,WG,AS,Arsenic,0.0196,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,CU,Copper,0.22,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,CU,Copper,0.97,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,FE,Iron,0.06,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,FE,Iron,1.1,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,K,Potassium,17.7,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,MG,Magnesium,51,MG/L,=,,,Y
47,Site 1,ML-2,22-Nov-06,WG,MG,Magnesium,45,MG/L,=,,,Y
47,Site 1,ML-1,25-Oct-06,WG,AS,Arsenic,0,MG/L,ND,,,Y
47,Site 1,ML-1,25-Oct-06,WG,CU,Copper,0.085,MG/L,=,,,Y
47,Site 1,ML-1,25-Oct-06,WG,FE,Iron,0.075,MG/L,=,,,Y
47,Site 1,ML-1,25-Oct-06,WG,MG,Magnesium,11,MG/L,=,,,Y
47,Site 1,ML-2,25-Oct-06,WG,AS,Arsenic,0,MG/L,ND,,,Y
47,Site 1,ML-2,25-Oct-06,WG,CU,Copper,0.145,MG/L,=,,,Y
47,Site 1,ML-2,25-Oct-06,WG,FE,Iron,0.095,MG/L,=,,,Y
47,Site 1,ML-2,25-Oct-06,WG,MG,Magnesium,52,MG/L,=,,,Y
47,Site 1,ML-1,23-Aug-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-1,23-Aug-06,WG,CU,Copper,0.05,MG/L,=,,,Y
47,Site 1,ML-1,23-Aug-06,WG,FE,Iron,0.135,MG/L,=,,,Y
47,Site 1,ML-1,23-Aug-06,WG,MG,Magnesium,3.5,MG/L,=,,,Y
47,Site 1,ML-2,23-Aug-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,23-Aug-06,WG,CU,Copper,0.035,MG/L,=,,,Y
47,Site 1,ML-2,23-Aug-06,WG,FE,Iron,0.13,MG/L,=,,,Y
47,Site 1,ML-2,23-Aug-06,WG,MG,Magnesium,26,MG/L,=,,,Y
47,Site 1,ML-1,26-Jul-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,26-Jul-06,WG,CU,Copper,0.075,MG/L,=,,,Y
47,Site 1,ML-1,26-Jul-06,WG,FE,Iron,0.13,MG/L,=,,,Y
47,Site 1,ML-1,26-Jul-06,WG,MG,Magnesium,0.815,MG/L,=,,,Y
47,Site 1,ML-2,26-Jul-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,26-Jul-06,WG,CU,Copper,0.02,MG/L,=,,,Y
47,Site 1,ML-2,26-Jul-06,WG,FE,Iron,0.085,MG/L,=,,,Y
47,Site 1,ML-2,26-Jul-06,WG,MG,Magnesium,13,MG/L,=,,,Y
47,Site 1,ML-1,20-Jul-05,WG,CU,Copper,0.115,MG/L,=,,,Y
47,Site 1,ML-1,20-Jul-05,WG,FE,Iron,0.185,MG/L,=,,,Y
47,Site 1,ML-1,20-Jul-05,WG,MG,Magnesium,8,MG/L,=,,,Y
47,Site 1,ML-2,20-Jul-05,WG,CU,Copper,0.185,MG/L,=,,,Y
47,Site 1,ML-2,20-Jul-05,WG,FE,Iron,0.205,MG/L,=,,,Y
47,Site 1,ML-2,20-Jul-05,WG,MG,Magnesium,15,MG/L,=,,,Y
47,Site 1,ML-1,17-Mar-05,WG,CU,Copper,0.03,MG/L,=,,,Y
47,Site 1,ML-1,17-Mar-05,WG,FE,Iron,0.12,MG/L,=,,,Y
47,Site 1,ML-1,17-Mar-05,WG,MG,Magnesium,4.4,MG/L,=,,,Y
47,Site 1,ML-2,17-Mar-05,WG,CU,Copper,0.02,MG/L,=,,,Y
47,Site 1,ML-2,17-Mar-05,WG,FE,Iron,0.1,MG/L,=,,,Y
47,Site 1,ML-2,17-Mar-05,WG,MG,Magnesium,11,MG/L,=,,,Y
47,Site 1,ML-1,21-Apr-05,WG,CU,Copper,0.03,MG/L,=,,,Y
47,Site 1,ML-1,21-Apr-05,WG,FE,Iron,0.165,MG/L,=,,,Y
47,Site 1,ML-1,21-Apr-05,WG,MG,Magnesium,6,MG/L,=,,,Y
47,Site 1,ML-2,21-Apr-05,WG,CU,Copper,0.18,MG/L,=,,,Y
47,Site 1,ML-2,21-Apr-05,WG,FE,Iron,0.17,MG/L,=,,,Y
47,Site 1,ML-2,21-Apr-05,WG,MG,Magnesium,8,MG/L,=,,,Y
47,Site 1,ML-1,24-May-05,WG,CU,Copper,0.03,MG/L,=,,,Y
47,Site 1,ML-1,24-May-05,WG,FE,Iron,0.11,MG/L,=,,,Y
47,Site 1,ML-1,24-May-05,WG,MG,Magnesium,12,MG/L,=,,,Y
47,Site 1,ML-2,24-May-05,WG,CU,Copper,0.03,MG/L,=,,,Y
47,Site 1,ML-2,24-May-05,WG,FE,Iron,0.04,MG/L,=,,,Y
47,Site 1,ML-2,24-May-05,WG,MG,Magnesium,14,MG/L,=,,,Y
47,Site 1,ML-1,22-Jun-05,WG,CU,Copper,0.155,MG/L,=,,,Y
47,Site 1,ML-1,22-Jun-05,WG,FE,Iron,0.15,MG/L,=,,,Y
47,Site 1,ML-1,22-Jun-05,WG,MG,Magnesium,5,MG/L,=,,,Y
47,Site 1,ML-2,22-Jun-05,WG,CU,Copper,0.255,MG/L,=,,,Y
47,Site 1,ML-2,22-Jun-05,WG,FE,Iron,0.1,MG/L,=,,,Y
47,Site 1,ML-2,22-Jun-05,WG,MG,Magnesium,13,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,AS,Arsenic,0,MG/L,ND,,,Y
47,Site 1,ML-1,19-Oct-06,WG,AS,Arsenic,0.00993,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,CU,Copper,0.085,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,CU,Copper,0.85,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,FE,Iron,0.075,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,FE,Iron,2.43,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,K,Potassium,13.5,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,MG,Magnesium,11,MG/L,=,,,Y
47,Site 1,ML-1,19-Oct-06,WG,MG,Magnesium,9.25,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,AS,Arsenic,0,MG/L,ND,,,Y
47,Site 1,ML-2,19-Oct-06,WG,AS,Arsenic,0.0154,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,CU,Copper,0.145,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,CU,Copper,0.67,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,FE,Iron,0.095,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,FE,Iron,1.07,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,K,Potassium,18.9,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,MG,Magnesium,52,MG/L,=,,,Y
47,Site 1,ML-2,19-Oct-06,WG,MG,Magnesium,44.6,MG/L,=,,,Y
47,Site 1,ML-1,19-Sep-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-1,19-Sep-06,WG,CU,Copper,0.02,MG/L,=,,,Y
47,Site 1,ML-1,19-Sep-06,WG,FE,Iron,0.175,MG/L,=,,,Y
47,Site 1,ML-1,19-Sep-06,WG,MG,Magnesium,4.4,MG/L,=,,,Y
47,Site 1,ML-2,19-Sep-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-2,19-Sep-06,WG,CU,Copper,0.095,MG/L,=,,,Y
47,Site 1,ML-2,19-Sep-06,WG,FE,Iron,0.23,MG/L,=,,,Y
47,Site 1,ML-2,19-Sep-06,WG,MG,Magnesium,20,MG/L,=,,,Y
47,Site 1,ML-1,27-Jun-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,27-Jun-06,WG,CU,Copper,0.02,MG/L,=,,,Y
47,Site 1,ML-1,27-Jun-06,WG,FE,Iron,0.105,MG/L,=,,,Y
47,Site 1,ML-1,27-Jun-06,WG,MG,Magnesium,1.6,MG/L,=,,,Y
47,Site 1,ML-2,27-Jun-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,27-Jun-06,WG,CU,Copper,0.015,MG/L,=,,,Y
47,Site 1,ML-2,27-Jun-06,WG,FE,Iron,0.095,MG/L,=,,,Y
47,Site 1,ML-2,27-Jun-06,WG,MG,Magnesium,15,MG/L,=,,,Y
47,Site 1,ML-1,25-May-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,25-May-06,WG,CU,Copper,0.115,MG/L,=,,,Y
47,Site 1,ML-1,25-May-06,WG,FE,Iron,0.12,MG/L,=,,,Y
47,Site 1,ML-1,25-May-06,WG,MG,Magnesium,1.9,MG/L,=,,,Y
47,Site 1,ML-2,25-May-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-2,25-May-06,WG,CU,Copper,0.26,MG/L,=,,,Y
47,Site 1,ML-2,25-May-06,WG,FE,Iron,0.14,MG/L,=,,,Y
47,Site 1,ML-2,25-May-06,WG,MG,Magnesium,7,MG/L,=,,,Y
47,Site 1,ML-1,22-Sep-05,WG,CU,Copper,0.08,MG/L,=,,,Y
47,Site 1,ML-1,22-Sep-05,WG,FE,Iron,0.095,MG/L,=,,,Y
47,Site 1,ML-1,22-Sep-05,WG,MG,Magnesium,1.15,MG/L,=,,,Y
47,Site 1,ML-2,22-Sep-05,WG,CU,Copper,0.165,MG/L,=,,,Y
47,Site 1,ML-2,22-Sep-05,WG,FE,Iron,0.135,MG/L,=,,,Y
47,Site 1,ML-2,22-Sep-05,WG,MG,Magnesium,1.185,MG/L,=,,,Y
47,Site 1,ML-1,19-Jan-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-1,19-Jan-06,WG,CU,Copper,0.045,MG/L,=,,,Y
47,Site 1,ML-1,19-Jan-06,WG,FE,Iron,0.065,MG/L,=,,,Y
47,Site 1,ML-1,19-Jan-06,WG,MG,Magnesium,5.8,MG/L,=,,,Y
47,Site 1,ML-2,19-Jan-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,19-Jan-06,WG,CU,Copper,0.1,MG/L,=,,,Y
47,Site 1,ML-2,19-Jan-06,WG,FE,Iron,0.16,MG/L,=,,,Y
47,Site 1,ML-2,19-Jan-06,WG,MG,Magnesium,12,MG/L,=,,,Y
47,Site 1,ML-1,30-Nov-05,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,30-Nov-05,WG,CU,Copper,0.055,MG/L,=,,,Y
47,Site 1,ML-1,30-Nov-05,WG,FE,Iron,0.23,MG/L,=,,,Y
47,Site 1,ML-1,30-Nov-05,WG,MG,Magnesium,12,MG/L,=,,,Y
47,Site 1,ML-2,30-Nov-05,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-2,30-Nov-05,WG,CU,Copper,0.045,MG/L,=,,,Y
47,Site 1,ML-2,30-Nov-05,WG,FE,Iron,0.225,MG/L,=,,,Y
47,Site 1,ML-2,30-Nov-05,WG,MG,Magnesium,13,MG/L,=,,,Y
47,Site 1,ML-1,25-Aug-05,WG,CU,Copper,0.09,MG/L,=,,,Y
47,Site 1,ML-1,25-Aug-05,WG,FE,Iron,0.165,MG/L,=,,,Y
47,Site 1,ML-1,25-Aug-05,WG,MG,Magnesium,10,MG/L,=,,,Y
47,Site 1,ML-2,25-Aug-05,WG,CU,Copper,0.265,MG/L,=,,,Y
47,Site 1,ML-2,25-Aug-05,WG,FE,Iron,0.245,MG/L,=,,,Y
47,Site 1,ML-2,25-Aug-05,WG,MG,Magnesium,12,MG/L,=,,,Y
47,Site 1,ML-1,26-Oct-05,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,26-Oct-05,WG,CU,Copper,0.055,MG/L,=,,,Y
47,Site 1,ML-1,26-Oct-05,WG,FE,Iron,0.215,MG/L,=,,,Y
47,Site 1,ML-1,26-Oct-05,WG,MG,Magnesium,5.1,MG/L,=,,,Y
47,Site 1,ML-2,26-Oct-05,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,26-Oct-05,WG,CU,Copper,0.07,MG/L,=,,,Y
47,Site 1,ML-2,26-Oct-05,WG,FE,Iron,0.13,MG/L,=,,,Y
47,Site 1,ML-2,26-Oct-05,WG,MG,Magnesium,7,MG/L,=,,,Y
47,Site 1,ML-1,15-Feb-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,15-Feb-06,WG,CU,Copper,0.06,MG/L,=,,,Y
47,Site 1,ML-1,15-Feb-06,WG,FE,Iron,0.275,MG/L,=,,,Y
47,Site 1,ML-1,15-Feb-06,WG,MG,Magnesium,4.8,MG/L,=,,,Y
47,Site 1,ML-2,15-Feb-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-2,15-Feb-06,WG,CU,Copper,0.06,MG/L,=,,,Y
47,Site 1,ML-2,15-Feb-06,WG,FE,Iron,0.4,MG/L,=,,,Y
47,Site 1,ML-2,15-Feb-06,WG,MG,Magnesium,6.5,MG/L,=,,,Y
47,Site 1,ML-1,22-Dec-05,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,22-Dec-05,WG,CU,Copper,0.08,MG/L,=,,,Y
47,Site 1,ML-1,22-Dec-05,WG,FE,Iron,0.18,MG/L,=,,,Y
47,Site 1,ML-1,22-Dec-05,WG,MG,Magnesium,10,MG/L,=,,,Y
47,Site 1,ML-2,22-Dec-05,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,22-Dec-05,WG,CU,Copper,0.14,MG/L,=,,,Y
47,Site 1,ML-2,22-Dec-05,WG,FE,Iron,0.2,MG/L,=,,,Y
47,Site 1,ML-2,22-Dec-05,WG,MG,Magnesium,12,MG/L,=,,,Y
47,Site 1,ML-1,28-Feb-07,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,28-Feb-07,WG,CU,Copper,0.035,MG/L,=,,,Y
47,Site 1,ML-1,28-Feb-07,WG,FE,Iron,0.06,MG/L,=,,,Y
47,Site 1,ML-1,28-Feb-07,WG,MG,Magnesium,45,MG/L,=,,,Y
47,Site 1,ML-2,1-Mar-07,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-2,1-Mar-07,WG,CU,Copper,0.12,MG/L,=,,,Y
47,Site 1,ML-2,1-Mar-07,WG,FE,Iron,0.065,MG/L,=,,,Y
47,Site 1,ML-2,1-Mar-07,WG,MG,Magnesium,72,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,AS,Arsenic,0.00471,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,AS,Arsenic,0.00548,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,CU,Copper,0.0391,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,CU,Copper,0.207,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,FE,Iron,0.154,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,FE,Iron,0.79,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,K,Potassium,11.4,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,K,Potassium,11.1,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,MG,Magnesium,23,MG/L,=,,,Y
47,Site 1,ML-1,18-Jan-07,WG,MG,Magnesium,22.6,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,AS,Arsenic,0.0182,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,AS,Arsenic,0.0188,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,CU,Copper,0.0409,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,CU,Copper,0.0886,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,FE,Iron,0,MG/L,ND,0.06,,Y
47,Site 1,ML-2,18-Jan-07,WG,FE,Iron,0.219,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,K,Potassium,18.8,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,K,Potassium,18,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,MG,Magnesium,48.4,MG/L,=,,,Y
47,Site 1,ML-2,18-Jan-07,WG,MG,Magnesium,46.8,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,AS,Arsenic,0.00361,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,AS,Arsenic,0.00462,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,CU,Copper,0.00342,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,CU,Copper,0.102,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,FE,Iron,0,MG/L,ND,0.03,,Y
47,Site 1,ML-1,14-Feb-07,WG,FE,Iron,1.11,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,K,Potassium,11.6,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,K,Potassium,10.7,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,MG,Magnesium,35,MG/L,=,,,Y
47,Site 1,ML-1,14-Feb-07,WG,MG,Magnesium,33.1,MG/L,=,,,Y
47,Site 1,ML-1,30-Mar-07,WG,AS,Arsenic,0,MG/L,ND,0.005,,Y
47,Site 1,ML-1,30-Mar-07,WG,CU,Copper,0.579,MG/L,=,,,Y
47,Site 1,ML-1,30-Mar-07,WG,FE,Iron,2.386,MG/L,=,,,Y
47,Site 1,ML-1,30-Mar-07,WG,K,Potassium,11.725,MG/L,=,,,Y
47,Site 1,ML-1,30-Mar-07,WG,MG,Magnesium,26.52,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,AS,Arsenic,0.0162,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,AS,Arsenic,0.0182,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,CU,Copper,0.0151,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,CU,Copper,0.0293,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,FE,Iron,0,MG/L,ND,0.06,,Y
47,Site 1,ML-2,16-Feb-07,WG,FE,Iron,0.214,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,K,Potassium,18.7,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,K,Potassium,17.7,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,MG,Magnesium,49.1,MG/L,=,,,Y
47,Site 1,ML-2,16-Feb-07,WG,MG,Magnesium,46.1,MG/L,=,,,Y
47,Site 1,ML-2,31-Mar-07,WG,AS,Arsenic,0.011,MG/L,=,,,Y
47,Site 1,ML-2,31-Mar-07,WG,CU,Copper,0.604,MG/L,=,,,Y
47,Site 1,ML-2,31-Mar-07,WG,FE,Iron,0.976,MG/L,=,,,Y
47,Site 1,ML-2,31-Mar-07,WG,K,Potassium,19.127,MG/L,=,,,Y
47,Site 1,ML-2,31-Mar-07,WG,MG,Magnesium,48.99,MG/L,=,,,Y
47,Site 1,ML-1,22-Feb-07,WG,AS,Arsenic,0.00499,MG/L,=,,,Y
47,Site 1,ML-1,22-Feb-07,WG,CU,Copper,0.151,MG/L,=,,,Y
47,Site 1,ML-2,17-Apr-07,WG,AS,Arsenic,0.0225,MG/L,=,,,Y
47,Site 1,ML-2,17-Apr-07,WG,CU,Copper,0.291,MG/L,=,,,Y
47,Site 1,ML-1,22-Feb-07,WG,FE,Iron,1.15,MG/L,=,,,Y
47,Site 1,ML-1,22-Feb-07,WG,K,Potassium,10.9,MG/L,=,,,Y
47,Site 1,ML-1,22-Feb-07,WG,MG,Magnesium,28,MG/L,=,,,Y
47,Site 1,ML-2,22-Feb-07,WG,AS,Arsenic,0.0168,MG/L,=,,,Y
47,Site 1,ML-2,22-Feb-07,WG,CU,Copper,0.277,MG/L,=,,,Y
47,Site 1,ML-2,22-Feb-07,WG,FE,Iron,0.82,MG/L,=,,,Y
47,Site 1,ML-2,22-Feb-07,WG,K,Potassium,18.7,MG/L,=,,,Y
47,Site 1,ML-2,22-Feb-07,WG,MG,Magnesium,52.7,MG/L,=,,,Y
47,Site 1,ML-2,17-Apr-07,WG,FE,Iron,0.3675,MG/L,=,,,Y
47,Site 1,ML-2,17-Apr-07,WG,K,Potassium,18.51,MG/L,=,,,Y
47,Site 1,ML-2,17-Apr-07,WG,MG,Magnesium,47.74,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-1,30-Jan-07,WG,AS,Arsenic,0.00546,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,AS,Arsenic,0.0059,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,AS,Arsenic,0.0069,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,CU,Copper,0.0055,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,CU,Copper,0.227,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,FE,Iron,0,MG/L,ND,0.06,,Y
47,Site 1,ML-1,12-Jan-07,WG,FE,Iron,0.8,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,K,Potassium,12.3,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,K,Potassium,12.6,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,MG,Magnesium,16.5,MG/L,=,,,Y
47,Site 1,ML-1,12-Jan-07,WG,MG,Magnesium,16.8,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,CU,Copper,0.055,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,CU,Copper,0.123,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,FE,Iron,0.1,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,FE,Iron,0.458,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,K,Potassium,11.5,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,MG,Magnesium,32,MG/L,=,,,Y
47,Site 1,ML-1,30-Jan-07,WG,MG,Magnesium,25.6,MG/L,=,,,Y
47,Site 1,ML-2,30-Jan-07,WG,AS,Arsenic,0.0163,MG/L,=,,,Y
47,Site 1,ML-2,30-Jan-07,WG,CU,Copper,0.0941,MG/L,=,,,Y
47,Site 1,ML-2,30-Jan-07,WG,FE,Iron,0.172,MG/L,=,,,Y
47,Site 1,ML-2,30-Jan-07,WG,K,Potassium,19.7,MG/L,=,,,Y
47,Site 1,ML-2,30-Jan-07,WG,MG,Magnesium,55.1,MG/L,=,,,Y
